,A̱o,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab,Periodo
0,2024,1,78.89,24.79,Ene-Mar 2024
1,2023,4,78.56,24.66,Oct-Dic 2023
2,2023,3,77.84,24.41,Jul-Sept 2023
3,2023,2,77.02,24.14,Abr-Jun 2023
4,2023,1,77.2,24.17,Ene-Mar 2023
5,2022,4,77.21,24.15,Oct-Dic 2022
6,2022,3,76.64,23.95,Jul-Sept 2022
7,2022,2,75.96542437191371,23.7204423164287,Abr-Jun 2022
8,2022,1,73.87880284452622,23.049171038697732,Ene-Mar 2022
9,2021,4,73.17639652814779,22.810702052174992,Oct-Dic 2021
10,2021,3,70.57885341443017,21.982550082706407,Jul-Sept 2021
11,2021,2,69.24018269199719,21.54793892759205,Abr-Jun 2021
12,2021,1,67.94587638885211,21.127831812160064,Ene-Mar 2021
13,2020,4,67.62233866155619,21.010191748284452,Oct-Dic 2020
14,2020,3,66.31,20.59,Jul-Sept 2020
15,2020,2,64.21000287666993,19.918402765295003,Abr-Jun 2020
16,2020,1,62.85636111359369,19.483264768615577,Ene-Mar 2020
17,2019,4,62.91991182091471,19.48790008712971,Oct-Dic 2019
18,2019,3,65.7879845391111,20.360660718556826,Jul-Sept 2019
19,2019,2,64.53,19.96,Abr-Jun 2019
20,2019,1,62.47916610977176,19.307906741229864,Ene-Mar 2019
21,2018,4,61.41580723435766,18.97,Oct-Dic 2018
22,2018,3,60.69,18.73,Jul-Sept 2018
23,2018,2,59.1620687879326,18.24,Abr-Jun 2018
24,2018,1,58.82,18.12,Ene-Mar 2018
25,2017,4,57.782350963183326,17.7929770681446,Oct-Dic 2017
26,2017,3,56.89922141223151,17.5090322340829,Jul-Sept 2017
27,2017,2,54.901190659837084,16.8829367167329,Abr-Jun 2017
28,2017,1,54.16211582414749,16.6445653587914,Ene-Mar 2017
29,2016,4,53.93601866428618,16.564000030973244,Oct-Dic 2016
30,2016,3,53.73418622887769,16.504675674002662,Jul-Sept 2016
31,2016,2,53.342201152611636,16.371351499331684,Abr-Jun 2016
32,2016,1,51.84545169695796,15.901801868833909,Ene-Mar 2016
33,2015,4,52.63088750448939,16.122696946278083,Oct-Dic 2015
34,2015,3,52.45910622153948,16.050289147694723,Jul-Sept 2015
35,2015,2,51.760266081540586,15.8172335655737,Abr-Jun 2015
36,2015,1,51.36458636223469,15.677234003379093,Ene-Mar 2015
37,2014,4,50.49978847426527,15.394676968457423,Oct-Dic 2014
38,2014,3,50.67236813472314,15.428768804428332,Jul-Sept 2014
39,2014,2,49.861428437657636,15.163908007906054,Abr-Jun 2014
40,2014,1,49.545821345016996,15.050103872893196,Ene-Mar 2014
